Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SAP0100,2009.02,4.34,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.03,4.06,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.04,4.25,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.05,4.21,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.06,3.57,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.07,3.21,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.08,2.7,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.09,2.62,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.10,2.72,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.11,2.96,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2009.12,3.24,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2010.01,3.47,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2010.02,3.25,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2010.03,3.21,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2010.04,3.18,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2010.05,3.45,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
