Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SE901,1964.02,49.364535,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.03,49.364535,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.04,49.364535,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.05,50.086736,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.06,50.34163,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.07,50.469077,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.08,51.531137,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.09,52.168372,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.10,51.998443,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.11,52.975538,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1964.12,52.210855,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.01,52.040925,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.02,51.955961,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.03,51.786031,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.04,51.743548,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.05,51.701066,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.06,51.276242,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.07,51.531137,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.08,52.423267,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.09,53.230432,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.10,52.508232,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.11,52.720644,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1965.12,53.400362,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.01,53.307282,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.02,53.046229,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.03,53.411705,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.04,53.307282,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.05,53.09844,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.06,53.202861,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.07,53.09844,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.08,52.941807,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.09,53.359494,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.10,52.994017,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.11,52.732964,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1966.12,53.255072,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.01,54.3515,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.02,56.283301,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.03,57.170886,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.04,57.118675,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.05,57.170886,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.06,57.640784,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.07,57.849627,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.08,57.640784,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.09,57.588573,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.10,57.484151,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.11,56.962042,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1967.12,56.753199,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.01,57.327519,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.02,57.797416,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.03,57.640784,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.04,58.058471,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.05,58.685001,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.06,58.841634,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.07,58.998266,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.08,58.893844,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.09,59.572585,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.10,59.781429,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.11,59.83364,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1968.12,59.88585,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.01,60.564591,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.02,61.243333,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.03,61.138911,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.04,61.347755,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.05,61.452176,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.06,61.817652,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.07,62.026495,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.08,62.183128,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.09,62.183128,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.10,62.235339,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.11,61.71323,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1969.12,61.66102,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1970.01,62.496394,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
